( 2023/02/09 17:11:46.344) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 17:12:33.157) #left_data: ,5.6,1.87,1.69,1.85,0,0.61,0.26,0.16
( 2023/02/09 17:12:33.218) #left_data: ,5.54,1.99,1.83,1.99,0,0.92,0,0
( 2023/02/09 17:12:33.280) #left_data: ,4.75,0.77,1.16,0.61,0,0.27,0,0
( 2023/02/09 17:12:33.349) #left_data: ,0.27,0,0,0.08,0,0,0.03,0
( 2023/02/09 17:12:33.418) #left_data: ,0.27,0,0,0.08,0,0,0.03,0
( 2023/02/09 17:12:33.488) #left_data: ,0.09,0,0,0.03,0,0,0,0
( 2023/02/09 17:12:33.547) #left_data: ,0.05,0,0,0.02,0,0,0,0
( 2023/02/09 17:12:33.609) #left_data: ,0.02,0,0,0,0,0,0,0
( 2023/02/09 17:12:33.677) #left_data: ,0,0,0.01,0.01,0,0,0,0
( 2023/02/09 17:12:33.744) #left_data: ,0,0.09,0.05,0.13,0,0,0,0
( 2023/02/09 17:12:33.810) #left_data: ,0,0,0,0.02,0,0,0.61,0.35
( 2023/02/09 17:12:33.871) #left_data: ,0,0,0,0.05,0,0.03,2.73,1.92
( 2023/02/09 17:12:33.933) #left_data: ,1,0,0.08,1.04,0,0.49,5.3,4.54
( 2023/02/09 17:12:33.998) #left_data: ,3.01,0.78,0.12,1.32,0.01,1.72,4.4,2.56
( 2023/02/09 17:12:34.060) #left_data: ,3.01,0.78,0.12,1.32,0.01,1.72,4.4,2.56
( 2023/02/09 17:12:34.125) #left_data: ,4.69,1.65,1.65,1.28,0,0.29,0.63,0.47
( 2023/02/09 17:12:34.184) #left_data: ,5.3,2.21,1.85,1.11,0,0.99,0.7,0.09
( 2023/02/09 17:12:34.243) #left_data: ,5.3,2.21,1.85,1.11,0,0.99,0.7,0.09
( 2023/02/09 17:12:34.303) #left_data: ,5.3,2.21,1.85,1.11,0,0.99,0.7,0.09
( 2023/02/09 17:12:34.372) #left_data: ,6.42,3.55,2.73,1.18,0,0.63,0,0
( 2023/02/09 17:12:34.440) #left_data: ,6.49,3.91,2.98,0.99,0,0.36,0,0
( 2023/02/09 17:12:34.504) #left_data: ,4.9,0.9,1.49,0.53,0,0.03,0,0
( 2023/02/09 17:12:34.566) #left_data: ,1.26,0.08,0.22,0.16,0,0,0,0
