( 2023/02/09 14:30:00.432) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 14:30:41.891) #left_data: ,0,0,0.1,0.09,0,0.06,0.3,0.14
( 2023/02/09 14:30:41.959) #left_data: ,0,0,0.1,0.09,0,0.06,0.3,0.14
( 2023/02/09 14:30:42.025) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:42.085) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:42.147) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:42.215) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:42.279) #left_data: ,0,0,0.1,0.09,0,0.06,0.3,0.14
( 2023/02/09 14:30:42.344) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:42.404) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:42.469) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:42.538) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:42.606) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:42.678) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:42.741) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:42.800) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:42.870) #left_data: ,0,0,0.1,0.09,0,0.06,0.3,0.14
( 2023/02/09 14:30:42.937) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:43.013) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:43.077) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:43.134) #left_data: ,0,0,0.1,0.09,0,0.06,0.3,0.14
( 2023/02/09 14:30:43.199) #left_data: ,0,0,0.1,0.09,0,0.06,0.3,0.14
( 2023/02/09 14:30:43.268) #left_data: ,0,0,0.1,0.09,0,0.06,0.3,0.14
( 2023/02/09 14:30:43.336) #left_data: ,0,0,0.1,0.09,0,0.06,0.3,0.14
( 2023/02/09 14:30:43.401) #left_data: ,0,0,0.1,0.09,0,0.06,0.3,0.14
( 2023/02/09 14:30:43.461) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:43.521) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:43.588) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:43.656) #left_data: ,0,0,0.1,0.09,0,0.06,0.3,0.14
( 2023/02/09 14:30:43.721) #left_data: ,0,0,0.1,0.09,0,0.06,0.3,0.14
( 2023/02/09 14:30:43.786) #left_data: ,0,0,0.1,0.09,0,0.06,0.3,0.14
( 2023/02/09 14:30:43.849) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:43.915) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:43.987) #left_data: ,0,0,0.1,0.09,0,0.06,0.3,0.14
( 2023/02/09 14:30:44.052) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:44.111) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.14
( 2023/02/09 14:30:44.175) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:44.241) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.14
( 2023/02/09 14:30:44.310) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:44.376) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:44.436) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.15
( 2023/02/09 14:30:44.498) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:44.568) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:44.636) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:44.705) #left_data: ,0,0,0.1,0.09,0,0.06,0.3,0.15
( 2023/02/09 14:30:44.765) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.15
( 2023/02/09 14:30:44.831) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.15
( 2023/02/09 14:30:44.900) #left_data: ,0,0,0.1,0.09,0,0.06,0.31,0.15
( 2023/02/09 14:30:44.971) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:45.039) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:45.105) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:45.166) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:45.230) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:45.299) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:45.368) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:45.433) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:45.492) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:45.557) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:45.625) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:45.699) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:45.764) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:45.824) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:45.886) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:45.954) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:46.022) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:46.087) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:46.147) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
