( 2023/02/09 15:59:18.379) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 16:00:10.871) #right_data: ,0.06,0.11,0.16,0.27,0,0.28,0.93,1.25
( 2023/02/09 16:00:10.933) #right_data: ,0.06,0.11,0.16,0.26,0,0.28,0.98,1.25
( 2023/02/09 16:00:10.995) #right_data: ,0.06,0.11,0.16,0.26,0,0.28,0.94,1.25
( 2023/02/09 16:00:11.061) #right_data: ,0.05,0.11,0.16,0.26,0,0.28,0.96,1.25
( 2023/02/09 16:00:11.132) #right_data: ,0.05,0.11,0.16,0.26,0,0.28,0.96,1.25
( 2023/02/09 16:00:11.202) #right_data: ,0.06,0.11,0.16,0.26,0,0.28,0.96,1.25
( 2023/02/09 16:00:11.264) #right_data: ,0.06,0.11,0.16,0.26,0,0.28,0.96,1.25
( 2023/02/09 16:00:11.322) #right_data: ,0.06,0.11,0.16,0.26,0,0.28,0.96,1.25
( 2023/02/09 16:00:11.389) #right_data: ,0.06,0.11,0.16,0.26,0,0.28,0.96,1.26
( 2023/02/09 16:00:11.459) #right_data: ,0.06,0.11,0.16,0.26,0,0.28,0.96,1.26
( 2023/02/09 16:00:11.530) #right_data: ,0.06,0.11,0.16,0.26,0,0.28,0.96,1.25
( 2023/02/09 16:00:11.592) #right_data: ,0.06,0.1,0.16,0.26,0,0.28,0.98,1.25
( 2023/02/09 16:00:11.652) #right_data: ,0.06,0.1,0.16,0.26,0,0.28,0.99,1.25
( 2023/02/09 16:00:11.716) #right_data: ,0.06,0.1,0.16,0.25,0,0.28,0.96,1.25
( 2023/02/09 16:00:11.783) #right_data: ,0.06,0.1,0.16,0.25,0,0.28,0.94,1.25
( 2023/02/09 16:00:11.852) #right_data: ,0.06,0.1,0.16,0.25,0,0.28,0.98,1.25
( 2023/02/09 16:00:11.913) #right_data: ,0.05,0.09,0.16,0.25,0,0.28,0.96,1.26
( 2023/02/09 16:00:11.973) #right_data: ,0.04,0.08,0.13,0.24,0,0.28,0.98,1.26
( 2023/02/09 16:00:12.034) #right_data: ,0.04,0.07,0.14,0.23,0,0.28,0.99,1.26
( 2023/02/09 16:00:12.092) #right_data: ,0.05,0.08,0.14,0.23,0,0.28,0.96,1.25
( 2023/02/09 16:00:12.150) #right_data: ,0.05,0.08,0.14,0.24,0,0.28,0.96,1.26
( 2023/02/09 16:00:12.213) #right_data: ,0.05,0.08,0.14,0.24,0,0.28,0.99,1.26
( 2023/02/09 16:00:12.274) #right_data: ,0.05,0.08,0.14,0.23,0,0.28,0.96,1.26
( 2023/02/09 16:00:12.333) #right_data: ,0.05,0.08,0.14,0.22,0,0.28,0.94,1.26
( 2023/02/09 16:00:12.400) #right_data: ,0.05,0.08,0.14,0.22,0,0.28,0.94,1.26
( 2023/02/09 16:00:12.462) #right_data: ,0.05,0.08,0.14,0.22,0,0.28,0.93,1.26
( 2023/02/09 16:00:12.525) #right_data: ,0.05,0.08,0.14,0.22,0,0.28,0.93,1.25
( 2023/02/09 16:00:12.587) #right_data: ,0.05,0.08,0.14,0.21,0,0.28,0.93,1.26
( 2023/02/09 16:00:12.652) #right_data: ,0.05,0.08,0.13,0.21,0,0.28,0.93,1.25
( 2023/02/09 16:00:12.711) #right_data: ,0.05,0.08,0.13,0.21,0,0.28,0.93,1.25
( 2023/02/09 16:00:12.770) #right_data: ,0.05,0.08,0.13,0.21,0,0.28,0.9,1.25
( 2023/02/09 16:00:12.829) #right_data: ,0.05,0.08,0.13,0.21,0,0.28,0.91,1.26
( 2023/02/09 16:00:12.888) #right_data: ,0.05,0.08,0.13,0.21,0,0.28,0.91,1.25
( 2023/02/09 16:00:12.948) #right_data: ,0.05,0.08,0.14,0.22,0,0.28,0.94,1.25
( 2023/02/09 16:00:13.007) #right_data: ,0.05,0.08,0.14,0.22,0,0.28,0.93,1.25
( 2023/02/09 16:00:13.068) #right_data: ,0.05,0.08,0.14,0.22,0,0.28,0.94,1.26
( 2023/02/09 16:00:13.128) #right_data: ,0.05,0.08,0.14,0.22,0,0.28,0.96,1.26
( 2023/02/09 16:00:13.189) #right_data: ,0.05,0.08,0.14,0.22,0,0.28,0.96,1.25
( 2023/02/09 16:00:13.250) #right_data: ,0.05,0.07,0.14,0.22,0,0.28,0.96,1.25
( 2023/02/09 16:00:13.310) #right_data: ,0.05,0.07,0.13,0.22,0,0.28,0.96,1.26
( 2023/02/09 16:00:13.369) #right_data: ,0.05,0.07,0.13,0.22,0,0.28,0.96,1.26
( 2023/02/09 16:00:13.428) #right_data: ,0.05,0.07,0.13,0.22,0,0.28,0.96,1.25
( 2023/02/09 16:00:13.548) #right_data: ,0.05,0.07,0.14,0.22,0,0.28,0.98,1.26
( 2023/02/09 16:00:13.611) #right_data: ,0.05,0.07,0.12,0.22,0,0.28,0.98,1.26
( 2023/02/09 16:00:13.671) #right_data: ,0.05,0.07,0.13,0.21,0,0.28,0.94,1.25
( 2023/02/09 16:00:13.739) #right_data: ,0.05,0.07,0.13,0.22,0,0.28,0.98,1.26
( 2023/02/09 16:00:13.799) #right_data: ,0.05,0.07,0.13,0.22,0,0.28,0.93,1.26
( 2023/02/09 16:00:13.859) #right_data: ,0.05,0.07,0.13,0.21,0,0.28,0.96,1.26
( 2023/02/09 16:00:13.920) #right_data: ,0.05,0.07,0.13,0.21,0,0.28,0.94,1.25
( 2023/02/09 16:00:13.980) #right_data: ,0.05,0.07,0.13,0.21,0,0.28,0.94,1.25
( 2023/02/09 16:00:14.038) #right_data: ,0.05,0.07,0.13,0.21,0,0.28,0.91,1.25
( 2023/02/09 16:00:14.095) #right_data: ,0.05,0.07,0.13,0.21,0,0.28,0.91,1.25
( 2023/02/09 16:00:14.155) #right_data: ,0.05,0.07,0.13,0.21,0,0.27,0.93,1.25
( 2023/02/09 16:00:14.214) #right_data: ,0.05,0.07,0.13,0.21,0,0.27,0.94,1.26
( 2023/02/09 16:00:14.275) #right_data: ,0.05,0.07,0.13,0.21,0,0.27,0.93,1.25
( 2023/02/09 16:00:14.340) #right_data: ,0.05,0.07,0.13,0.21,0,0.27,0.93,1.25
( 2023/02/09 16:00:14.411) #right_data: ,0.05,0.07,0.13,0.21,0,0.27,0.91,1.25
( 2023/02/09 16:00:14.475) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.93,1.25
