( 2023/02/09 17:05:27.977) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 17:05:50.489) #right_data: ,1.22,0.46,0.8,1.0,0.0,1.17,2.42,2.34
( 2023/02/09 17:05:50.558) #right_data: ,0.05,0.72,0.95,1.05,0.0,1.15,1.87,1.65
( 2023/02/09 17:05:50.631) #right_data: ,2.16,2.36,0.88,0.26,0.01,1.02,0.61,0.54
( 2023/02/09 17:05:50.693) #right_data: ,3.15,3.22,1.41,0.57,0.0,0.83,0.01,0.03
( 2023/02/09 17:05:50.755) #right_data: ,4.17,3.91,1.78,0.41,0.0,0.54,0.0,0.0
( 2023/02/09 17:05:50.818) #right_data: ,5.42,3.25,0.27,0.68,0.0,0.08,0.0,0.0
( 2023/02/09 17:05:50.888) #right_data: ,0.93,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:50.957) #right_data: ,0.93,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:51.021) #right_data: ,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:51.082) #right_data: ,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:51.149) #right_data: ,0.42,0.0,0.0,0.0,0.0,0.0,0.01,0.01
( 2023/02/09 17:05:51.219) #right_data: ,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:51.297) #right_data: ,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:51.362) #right_data: ,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:51.421) #right_data: ,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:51.480) #right_data: ,0.05,0.0,0.0,0.0,0.0,0.0,1.04,0.72
( 2023/02/09 17:05:51.548) #right_data: ,0.35,0.0,0.0,0.0,0.0,0.03,5.18,4.45
( 2023/02/09 17:05:51.619) #right_data: ,0.77,0.0,0.0,0.03,0.0,0.33,6.27,5.3
( 2023/02/09 17:05:51.690) #right_data: ,0.84,0.0,0.0,0.07,0.0,0.48,6.34,5.24
( 2023/02/09 17:05:51.752) #right_data: ,1.1,0.17,0.16,0.36,0.0,0.69,5.18,4.17
( 2023/02/09 17:05:51.810) #right_data: ,1.19,0.51,0.33,0.49,0.0,0.72,4.3,3.32
( 2023/02/09 17:05:51.885) #right_data: ,1.19,0.51,0.33,0.49,0.0,0.72,4.3,3.32
( 2023/02/09 17:05:51.948) #right_data: ,2.26,2.23,1.04,0.85,0.0,0.71,0.57,0.97
( 2023/02/09 17:05:52.019) #right_data: ,3.15,3.01,0.07,1.01,0.0,0.69,0.88,0.49
( 2023/02/09 17:05:52.082) #right_data: ,4.75,4.54,1.04,1.0,0.0,0.23,0.02,0.01
( 2023/02/09 17:05:52.141) #right_data: ,5.66,4.45,1.07,0.35,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:52.206) #right_data: ,3.78,0.27,0.13,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:52.278) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:52.348) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:52.412) #right_data: ,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.01
( 2023/02/09 17:05:52.473) #right_data: ,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:52.539) #right_data: ,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:52.610) #right_data: ,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:52.684) #right_data: ,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:52.748) #right_data: ,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:52.810) #right_data: ,0.07,0.0,0.0,0.0,0.0,0.0,2.76,2.53
( 2023/02/09 17:05:52.876) #right_data: ,0.07,0.0,0.0,0.0,0.0,0.0,2.76,2.53
( 2023/02/09 17:05:52.947) #right_data: ,0.46,0.0,0.0,0.02,0.0,0.32,6.49,5.48
( 2023/02/09 17:05:53.018) #right_data: ,0.64,0.0,0.0,0.04,0.0,0.51,6.57,5.6
( 2023/02/09 17:05:53.079) #right_data: ,0.89,0.0,0.0,0.23,0.0,0.86,5.54,4.8
( 2023/02/09 17:05:53.141) #right_data: ,0.96,0.0,0.0,0.4,0.0,1.03,4.54,4.21
( 2023/02/09 17:05:53.208) #right_data: ,0.96,0.0,0.0,0.4,0.0,1.03,4.54,4.21
( 2023/02/09 17:05:53.277) #right_data: ,1.0,0.0,0.2,0.57,0.0,1.18,3.74,3.43
( 2023/02/09 17:05:53.351) #right_data: ,1.0,0.0,0.2,0.57,0.0,1.18,3.74,3.43
( 2023/02/09 17:05:53.413) #right_data: ,1.18,0.35,0.81,0.99,0.0,0.17,1.92,1.55
( 2023/02/09 17:05:53.471) #right_data: ,1.63,0.47,1.11,1.13,0.02,1.23,0.78,1.1
( 2023/02/09 17:05:53.537) #right_data: ,4.35,2.92,0.98,0.44,0.0,0.83,0.04,0.03
( 2023/02/09 17:05:53.607) #right_data: ,5.66,1.51,0.56,0.16,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:53.681) #right_data: ,4.45,0.38,0.09,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:53.744) #right_data: ,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:53.803) #right_data: ,0.35,0.0,0.0,0.0,0.0,0.0,0.01,0.01
( 2023/02/09 17:05:53.868) #right_data: ,0.43,0.0,0.0,0.0,0.0,0.0,0.02,0.01
( 2023/02/09 17:05:53.937) #right_data: ,0.45,0.0,0.0,0.0,0.0,0.0,0.02,0.01
( 2023/02/09 17:05:54.007) #right_data: ,0.4,0.0,0.0,0.0,0.0,0.0,0.01,0.01
( 2023/02/09 17:05:54.069) #right_data: ,0.4,0.0,0.0,0.0,0.0,0.0,0.01,0.01
( 2023/02/09 17:05:54.130) #right_data: ,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:54.194) #right_data: ,0.18,0.0,0.0,0.0,0.0,0.0,1.0,1.11
( 2023/02/09 17:05:54.263) #right_data: ,0.28,0.0,0.0,0.0,0.0,0.0,5.73,4.75
( 2023/02/09 17:05:54.334) #right_data: ,0.64,0.0,0.0,0.0,0.0,0.22,7.05,6.06
( 2023/02/09 17:05:54.393) #right_data: ,0.71,0.0,0.0,0.01,0.0,0.32,7.48,6.27
( 2023/02/09 17:05:54.454) #right_data: ,0.7,0.0,0.0,0.02,0.0,0.44,7.31,5.99
( 2023/02/09 17:05:54.522) #right_data: ,0.66,0.0,0.0,0.04,0.0,0.62,6.72,5.54
( 2023/02/09 17:05:54.592) #right_data: ,0.67,0.0,0.0,0.11,0.0,0.73,6.34,5.3
( 2023/02/09 17:05:54.667) #right_data: ,0.48,0.0,0.0,0.35,0.0,1.01,4.96,4.54
( 2023/02/09 17:05:54.730) #right_data: ,0.56,0.0,0.12,0.5,0.0,1.1,4.54,3.99
( 2023/02/09 17:05:54.790) #right_data: ,0.94,0.21,0.39,0.69,0.0,1.09,3.82,3.22
( 2023/02/09 17:05:54.855) #right_data: ,1.61,0.95,0.82,1.0,0.02,1.25,1.55,0.34
