( 2023/02/09 17:05:27.969) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 17:05:51.140) #left_data: ,0.14,0.21,0.34,0.64,0.0,0.64,5.01,4.35
( 2023/02/09 17:05:51.210) #left_data: ,0.25,0.48,0.53,0.85,0.0,0.71,4.45,3.62
( 2023/02/09 17:05:51.280) #left_data: ,0.48,0.9,0.78,1.1,0.01,0.83,2.85,1.37
( 2023/02/09 17:05:51.356) #left_data: ,1.17,1.11,0.04,0.39,0.04,1.01,1.13,0.51
( 2023/02/09 17:05:51.418) #left_data: ,1.17,1.11,0.04,0.39,0.04,1.01,1.13,0.51
( 2023/02/09 17:05:51.476) #left_data: ,4.45,4.45,2.64,0.57,0.0,0.22,0.0,0.0
( 2023/02/09 17:05:51.538) #left_data: ,3.36,0.84,0.33,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:51.610) #left_data: ,3.36,0.84,0.33,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:51.682) #left_data: ,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:51.747) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:51.807) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:51.871) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:51.943) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:52.009) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:52.077) #left_data: ,0.0,0.0,0.0,0.04,0.0,0.0,2.13,1.06
( 2023/02/09 17:05:52.137) #left_data: ,0.0,0.0,0.0,0.04,0.0,0.0,2.13,1.06
( 2023/02/09 17:05:52.197) #left_data: ,0.13,0.0,0.13,0.49,0.0,0.37,4.9,3.47
( 2023/02/09 17:05:52.269) #left_data: ,0.19,0.32,0.5,0.61,0.0,0.5,5.48,4.12
( 2023/02/09 17:05:52.339) #left_data: ,0.27,0.7,0.71,0.71,0.0,0.54,5.3,3.99
( 2023/02/09 17:05:52.406) #left_data: ,0.31,0.89,0.82,0.79,0.0,0.57,4.54,3.36
( 2023/02/09 17:05:52.468) #left_data: ,0.35,0.89,0.98,0.97,0.0,0.69,4.08,2.95
( 2023/02/09 17:05:52.531) #left_data: ,0.42,0.95,1.13,1.17,0.0,0.84,3.91,2.47
( 2023/02/09 17:05:52.602) #left_data: ,0.42,0.95,1.13,1.17,0.0,0.84,3.91,2.47
( 2023/02/09 17:05:52.673) #left_data: ,0.88,0.44,0.23,0.32,0.0,0.9,2.92,1.01
( 2023/02/09 17:05:52.744) #left_data: ,0.08,0.87,0.81,0.54,0.0,1.05,1.36,1.02
( 2023/02/09 17:05:52.804) #left_data: ,4.35,3.15,2.61,0.13,0.0,0.21,0.0,0.0
( 2023/02/09 17:05:52.868) #left_data: ,4.35,3.15,2.61,0.13,0.0,0.21,0.0,0.0
( 2023/02/09 17:05:52.937) #left_data: ,4.64,0.45,0.98,0.41,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:53.008) #left_data: ,0.1,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:53.075) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:53.135) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:53.199) #left_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:53.269) #left_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:53.342) #left_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:53.409) #left_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:53.468) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:53.529) #left_data: ,0.0,0.0,0.0,0.01,0.0,0.0,0.5,0.32
