( 2023/02/09 19:19:36.468) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 19:19:55.532) #left_data: ,1.13,1.37,0.84,1.22,0.0,1.13,4.4,3.25
( 2023/02/09 19:19:55.605) #left_data: ,0.22,2.16,1.83,1.12,0.0,0.49,4.17,3.11
( 2023/02/09 19:19:55.672) #left_data: ,0.22,2.16,1.83,1.12,0.0,0.49,4.17,3.11
( 2023/02/09 19:19:55.734) #left_data: ,1.06,1.21,1.55,1.18,0.0,0.49,3.95,3.01
( 2023/02/09 19:19:55.794) #left_data: ,1.18,1.02,0.98,0.68,0.0,1.25,3.7,2.73
( 2023/02/09 19:19:55.855) #left_data: ,1.26,1.25,1.04,0.69,0.0,1.26,3.74,2.76
( 2023/02/09 19:19:55.922) #left_data: ,0.05,1.49,1.3,0.84,0.0,0.07,3.82,2.92
( 2023/02/09 19:19:56.006) #left_data: ,0.99,2.13,1.53,0.72,0.0,0.19,4.17,3.05
( 2023/02/09 19:19:56.069) #left_data: ,2.67,3.86,2.73,1.28,0.0,0.16,0.49,0.79
( 2023/02/09 19:19:56.129) #left_data: ,3.4,3.47,3.15,0.63,0.0,0.26,0.0,0.0
( 2023/02/09 19:19:56.194) #left_data: ,1.16,0.02,0.39,0.3,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:56.265) #left_data: ,1.16,0.02,0.39,0.3,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:56.337) #left_data: ,0.14,0.0,0.08,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:56.406) #left_data: ,0.1,0.0,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:56.465) #left_data: ,0.08,0.0,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:56.525) #left_data: ,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:56.595) #left_data: ,0.09,0.0,0.08,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:56.671) #left_data: ,0.11,0.0,0.08,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:56.739) #left_data: ,0.11,0.0,0.08,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:56.799) #left_data: ,0.11,0.0,0.09,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:56.862) #left_data: ,0.12,0.01,0.08,0.0,0.0,0.05,1.67,0.05
( 2023/02/09 19:19:56.930) #left_data: ,0.35,0.34,0.21,0.03,0.0,0.2,3.29,1.32
( 2023/02/09 19:19:56.999) #left_data: ,0.35,0.34,0.21,0.03,0.0,0.2,3.29,1.32
( 2023/02/09 19:19:57.067) #left_data: ,1.0,1.59,0.57,0.14,0.0,0.5,6.27,4.96
( 2023/02/09 19:19:57.127) #left_data: ,1.0,1.59,0.57,0.14,0.0,0.5,6.27,4.96
( 2023/02/09 19:19:57.188) #left_data: ,1.13,1.96,0.65,0.19,0.0,0.56,6.57,5.3
( 2023/02/09 19:19:57.259) #left_data: ,0.97,1.61,0.68,0.2,0.0,0.49,6.13,4.96
( 2023/02/09 19:19:57.330) #left_data: ,0.97,1.61,0.68,0.2,0.0,0.49,6.13,4.96
( 2023/02/09 19:19:57.399) #left_data: ,0.81,1.47,0.82,0.34,0.0,0.57,5.36,3.99
( 2023/02/09 19:19:57.461) #left_data: ,0.94,1.53,0.91,0.48,0.0,0.71,5.6,4.49
( 2023/02/09 19:19:57.524) #left_data: ,0.94,1.53,0.91,0.48,0.0,0.71,5.6,4.49
( 2023/02/09 19:19:57.593) #left_data: ,4.4,5.48,3.78,1.26,0.0,1.1,0.33,0.09
( 2023/02/09 19:19:57.664) #left_data: ,4.4,5.48,3.78,1.26,0.0,1.1,0.33,0.09
( 2023/02/09 19:19:57.731) #left_data: ,0.4,0.0,0.14,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:57.791) #left_data: ,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:57.852) #left_data: ,0.15,0.0,0.08,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:57.916) #left_data: ,0.13,0.0,0.08,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:57.988) #left_data: ,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:58.055) #left_data: ,0.08,0.0,0.09,0.0,0.0,0.0,0.0,0.0
