( 2023/02/10 14:11:38.096) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/10 14:12:06.282) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.353) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.423) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.493) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.560) #left_data: ,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:06.619) #left_data: ,0.0,0.0,0.03,1.0,0.0,1.25,6.97,7.13
( 2023/02/10 14:12:06.681) #left_data: ,0.0,0.0,0.03,1.0,0.0,1.25,6.97,7.13
( 2023/02/10 14:12:06.749) #left_data: ,0.17,0.0,0.45,0.21,0.0,0.41,7.05,7.31
( 2023/02/10 14:12:06.821) #left_data: ,0.44,0.68,0.83,1.06,0.0,0.89,6.65,5.86
( 2023/02/10 14:12:06.891) #left_data: ,0.44,0.68,0.83,1.06,0.0,0.89,6.65,5.86
( 2023/02/10 14:12:06.954) #left_data: ,0.44,0.58,1.07,1.1,0.0,0.89,6.72,5.6
( 2023/02/10 14:12:07.016) #left_data: ,1.67,4.64,3.78,2.21,0.0,0.78,0.9,0.5
( 2023/02/10 14:12:07.086) #left_data: ,1.67,4.64,3.78,2.21,0.0,0.78,0.9,0.5
( 2023/02/10 14:12:07.155) #left_data: ,4.75,6.06,5.66,3.25,0.0,1.05,0.0,0.0
( 2023/02/10 14:12:07.225) #left_data: ,6.49,2.44,1.26,0.8,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:07.288) #left_data: ,6.49,2.44,1.26,0.8,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:07.349) #left_data: ,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:07.412) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:07.482) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:07.555) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:07.621) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:07.681) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:07.745) #left_data: ,0.0,0.0,0.0,0.04,0.0,0.11,5.73,5.54
( 2023/02/10 14:12:07.818) #left_data: ,0.0,0.0,0.0,0.04,0.0,0.11,5.73,5.54
( 2023/02/10 14:12:07.887) #left_data: ,0.03,0.0,0.19,0.66,0.0,2.31,6.8,7.22
( 2023/02/10 14:12:07.954) #left_data: ,0.18,0.0,0.46,0.44,0.0,1.12,6.27,6.57
( 2023/02/10 14:12:08.015) #left_data: ,0.18,0.0,0.46,0.44,0.0,1.12,6.27,6.57
( 2023/02/10 14:12:08.083) #left_data: ,0.88,0.66,0.99,1.26,0.0,0.0,6.34,5.99
( 2023/02/10 14:12:08.155) #left_data: ,2.73,3.18,2.21,0.93,0.01,0.76,3.74,1.83
( 2023/02/10 14:12:08.226) #left_data: ,2.73,3.18,2.21,0.93,0.01,0.76,3.74,1.83
( 2023/02/10 14:12:08.295) #left_data: ,6.27,6.27,5.92,2.47,0.0,0.57,0.0,0.0
( 2023/02/10 14:12:08.356) #left_data: ,7.05,4.54,4.69,1.43,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:08.422) #left_data: ,4.17,1.01,0.68,0.9,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:08.496) #left_data: ,0.06,0.0,0.01,0.08,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:08.566) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:08.632) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:08.691) #left_data: ,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:08.752) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:08.825) #left_data: ,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:08.896) #left_data: ,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:08.970) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.03,3.47,3.15
( 2023/02/10 14:12:09.032) #left_data: ,0.4,0.0,0.0,0.7,0.0,0.98,6.72,6.49
( 2023/02/10 14:12:09.096) #left_data: ,0.4,0.0,0.0,0.7,0.0,0.98,6.72,6.49
( 2023/02/10 14:12:09.166) #left_data: ,1.11,0.39,0.86,1.27,0.0,0.23,6.97,6.2
( 2023/02/10 14:12:09.236) #left_data: ,0.79,1.15,0.21,0.18,0.0,0.17,5.86,4.35
( 2023/02/10 14:12:09.304) #left_data: ,2.39,1.53,1.45,0.38,0.01,0.2,4.3,1.87
( 2023/02/10 14:12:09.365) #left_data: ,4.12,3.7,3.4,1.11,0.0,0.28,0.32,0.44
( 2023/02/10 14:12:09.427) #left_data: ,5.79,5.36,5.12,1.94,0.0,0.87,0.0,0.0
( 2023/02/10 14:12:09.494) #left_data: ,5.79,5.36,5.12,1.94,0.0,0.87,0.0,0.0
( 2023/02/10 14:12:09.569) #left_data: ,8.16,3.99,3.95,1.21,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:09.634) #left_data: ,8.16,3.99,3.95,1.21,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:09.694) #left_data: ,0.15,0.0,0.0,0.02,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:09.755) #left_data: ,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:09.824) #left_data: ,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:09.895) #left_data: ,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:09.963) #left_data: ,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:10.023) #left_data: ,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:10.086) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.07,0.36,1.22
( 2023/02/10 14:12:10.149) #left_data: ,0.13,0.0,0.0,0.5,0.0,0.78,5.99,5.99
( 2023/02/10 14:12:10.210) #left_data: ,0.13,0.0,0.0,0.5,0.0,0.78,5.99,5.99
( 2023/02/10 14:12:10.278) #left_data: ,1.06,0.2,0.91,0.28,0.0,1.12,6.88,6.27
( 2023/02/10 14:12:10.342) #left_data: ,0.82,0.45,0.39,0.96,0.0,1.85,5.99,5.24
( 2023/02/10 14:12:10.401) #left_data: ,0.82,0.45,0.39,0.96,0.0,1.85,5.99,5.24
( 2023/02/10 14:12:10.462) #left_data: ,1.13,1.1,2.21,2.03,0.0,2.47,3.62,2.31
( 2023/02/10 14:12:10.534) #left_data: ,0.44,1.11,3.7,2.82,0.0,2.95,1.18,0.59
( 2023/02/10 14:12:10.602) #left_data: ,2.64,2.79,4.8,3.36,0.0,1.99,0.0,0.0
( 2023/02/10 14:12:10.666) #left_data: ,5.6,4.9,5.54,3.18,0.0,0.96,0.0,0.0
( 2023/02/10 14:12:10.725) #left_data: ,7.22,2.76,3.01,0.08,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:10.785) #left_data: ,7.22,2.76,3.01,0.08,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:10.852) #left_data: ,2.26,0.07,0.31,0.09,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:10.922) #left_data: ,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:11.046) #left_data: ,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:11.108) #left_data: ,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:11.177) #left_data: ,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:11.245) #left_data: ,0.13,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:11.314) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.07,2.76,2.44
( 2023/02/10 14:12:11.374) #left_data: ,0.02,0.0,0.0,0.62,0.0,0.98,6.72,7.05
( 2023/02/10 14:12:11.436) #left_data: ,0.36,0.0,0.24,1.21,0.0,1.16,7.13,7.05
( 2023/02/10 14:12:11.505) #left_data: ,0.04,0.45,0.89,1.2,0.0,0.28,7.13,6.49
( 2023/02/10 14:12:11.576) #left_data: ,1.21,0.18,1.08,0.9,0.0,1.0,6.72,5.6
( 2023/02/10 14:12:11.643) #left_data: ,1.72,1.36,1.2,0.96,0.0,1.06,6.42,5.07
( 2023/02/10 14:12:11.704) #left_data: ,1.72,1.36,1.2,0.96,0.0,1.06,6.42,5.07
( 2023/02/10 14:12:11.762) #left_data: ,4.12,3.51,3.78,1.85,0.01,1.28,1.18,0.38
( 2023/02/10 14:12:11.823) #left_data: ,5.92,5.01,5.6,3.32,0.0,0.51,0.0,0.0
( 2023/02/10 14:12:11.893) #left_data: ,7.13,5.3,5.54,2.79,0.0,0.37,0.0,0.0
( 2023/02/10 14:12:11.963) #left_data: ,7.39,2.61,3.08,0.9,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:12.029) #left_data: ,0.13,0.0,0.0,0.02,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:12.089) #left_data: ,0.13,0.0,0.0,0.02,0.0,0.0,0.0,0.0
