( 2023/02/10 13:30:53.246) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/10 13:31:29.250) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.0,0.8
( 2023/02/10 13:31:29.313) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,0.98,0.74
( 2023/02/10 13:31:29.383) #left_data: ,0.04,0.0,0.01,0.0,0.0,0.0,1.05,0.82
( 2023/02/10 13:31:29.455) #left_data: ,0.04,0.0,0.01,0.0,0.0,0.0,1.05,0.82
( 2023/02/10 13:31:29.525) #left_data: ,0.04,0.0,0.02,0.0,0.0,0.0,1.09,0.84
( 2023/02/10 13:31:29.587) #left_data: ,0.04,0.0,0.01,0.0,0.0,0.0,1.05,0.81
( 2023/02/10 13:31:29.651) #left_data: ,0.04,0.0,0.01,0.0,0.0,0.0,1.05,0.81
( 2023/02/10 13:31:29.723) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.03,0.79
( 2023/02/10 13:31:29.797) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.0,0.76
( 2023/02/10 13:31:29.864) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,0.98,0.72
( 2023/02/10 13:31:29.926) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.03,0.77
( 2023/02/10 13:31:29.989) #left_data: ,0.04,0.0,0.01,0.0,0.0,0.0,1.04,0.77
( 2023/02/10 13:31:30.058) #left_data: ,0.04,0.0,0.02,0.0,0.0,0.0,1.08,0.8
( 2023/02/10 13:31:30.132) #left_data: ,0.05,0.0,0.01,0.0,0.0,0.0,1.09,0.8
( 2023/02/10 13:31:30.201) #left_data: ,0.05,0.0,0.01,0.0,0.0,0.0,1.1,0.82
( 2023/02/10 13:31:30.263) #left_data: ,0.05,0.0,0.01,0.0,0.0,0.0,1.08,0.8
( 2023/02/10 13:31:30.326) #left_data: ,0.05,0.0,0.01,0.0,0.0,0.0,1.08,0.8
