( 2023/02/10 14:11:38.103) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/10 14:12:11.184) #right_data: ,0.65,1.0,2.98,4.4,0.0,2.39,0.0,0.0
( 2023/02/10 14:12:11.255) #right_data: ,5.01,3.82,4.54,4.69,0.0,0.02,0.0,0.0
( 2023/02/10 14:12:11.318) #right_data: ,6.88,1.96,2.89,1.69,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:11.379) #right_data: ,3.91,0.0,0.03,0.04,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:11.443) #right_data: ,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:11.515) #right_data: ,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:11.585) #right_data: ,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:11.647) #right_data: ,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:11.708) #right_data: ,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:11.766) #right_data: ,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:11.830) #right_data: ,0.13,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:11.903) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.15,3.62,3.4
( 2023/02/10 14:12:11.970) #right_data: ,0.2,0.0,0.0,0.29,0.0,0.62,6.2,5.66
( 2023/02/10 14:12:12.034) #right_data: ,0.49,0.0,0.01,0.83,0.0,0.06,7.05,5.99
( 2023/02/10 14:12:12.092) #right_data: ,0.35,0.02,1.01,1.89,0.0,2.16,4.85,3.7
( 2023/02/10 14:12:12.161) #right_data: ,0.35,0.02,1.01,1.89,0.0,2.16,4.85,3.7
( 2023/02/10 14:12:12.230) #right_data: ,0.32,0.18,1.63,3.4,0.0,2.95,0.99,0.21
( 2023/02/10 14:12:12.298) #right_data: ,0.47,0.37,3.01,4.3,0.0,3.22,0.07,0.26
( 2023/02/10 14:12:12.360) #right_data: ,1.11,0.89,4.03,4.69,0.0,2.67,0.0,0.0
( 2023/02/10 14:12:12.419) #right_data: ,1.94,0.76,4.8,5.01,0.0,2.16,0.0,0.0
( 2023/02/10 14:12:12.485) #right_data: ,4.35,2.18,5.36,5.12,0.0,0.54,0.0,0.0
( 2023/02/10 14:12:12.556) #right_data: ,6.27,0.13,0.93,2.23,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:12.628) #right_data: ,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:12.690) #right_data: ,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:12.749) #right_data: ,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:12.815) #right_data: ,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:12.887) #right_data: ,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:12.959) #right_data: ,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:13.021) #right_data: ,0.21,0.0,0.0,0.02,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:13.081) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.1,3.08,2.67
( 2023/02/10 14:12:13.146) #right_data: ,0.04,0.0,0.0,0.07,0.0,0.39,5.73,5.12
( 2023/02/10 14:12:13.218) #right_data: ,0.3,0.05,0.89,1.49,0.0,1.76,6.42,5.24
( 2023/02/10 14:12:13.289) #right_data: ,0.21,0.04,1.07,2.11,0.0,2.18,5.36,4.59
( 2023/02/10 14:12:13.352) #right_data: ,0.17,0.04,1.07,2.23,0.0,2.36,3.58,3.22
( 2023/02/10 14:12:13.411) #right_data: ,0.53,0.88,1.67,2.7,0.0,2.28,2.34,1.96
( 2023/02/10 14:12:13.475) #right_data: ,0.76,0.27,2.79,3.29,0.0,2.47,0.12,0.5
( 2023/02/10 14:12:13.544) #right_data: ,1.07,1.39,3.58,3.86,0.0,2.53,0.31,0.56
( 2023/02/10 14:12:13.614) #right_data: ,4.96,4.03,5.54,5.01,0.0,0.15,0.0,0.0
( 2023/02/10 14:12:13.674) #right_data: ,5.86,3.62,5.42,4.59,0.0,0.47,0.0,0.0
( 2023/02/10 14:12:13.734) #right_data: ,5.86,3.62,5.42,4.59,0.0,0.47,0.0,0.0
( 2023/02/10 14:12:13.798) #right_data: ,6.57,0.5,1.19,1.34,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:13.867) #right_data: ,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:13.937) #right_data: ,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:14.000) #right_data: ,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:14.061) #right_data: ,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:14.125) #right_data: ,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:14.195) #right_data: ,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:14.266) #right_data: ,0.04,0.0,0.0,0.0,0.0,0.11,1.1,0.17
( 2023/02/10 14:12:14.334) #right_data: ,0.58,0.0,0.0,0.12,0.0,1.04,6.49,5.86
( 2023/02/10 14:12:14.396) #right_data: ,0.6,0.0,0.05,1.26,0.0,1.87,5.99,5.66
( 2023/02/10 14:12:14.460) #right_data: ,0.28,0.0,0.17,2.11,0.0,2.53,4.26,4.26
( 2023/02/10 14:12:14.533) #right_data: ,0.36,0.0,0.33,2.47,0.0,2.7,2.79,3.18
( 2023/02/10 14:12:14.603) #right_data: ,0.44,0.15,1.19,3.78,0.0,3.08,1.18,0.49
( 2023/02/10 14:12:14.670) #right_data: ,0.93,1.08,2.64,3.91,0.0,2.92,0.84,1.04
( 2023/02/10 14:12:14.732) #right_data: ,3.86,4.45,5.24,4.9,0.0,0.79,0.0,0.0
( 2023/02/10 14:12:14.796) #right_data: ,5.36,5.07,5.54,5.01,0.0,0.93,0.0,0.0
( 2023/02/10 14:12:14.868) #right_data: ,6.27,4.8,5.36,4.3,0.0,0.2,0.0,0.0
( 2023/02/10 14:12:14.940) #right_data: ,5.36,0.0,0.45,0.54,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:15.001) #right_data: ,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:15.059) #right_data: ,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:15.119) #right_data: ,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:15.182) #right_data: ,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
