( 2023/02/09 17:11:46.352) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 17:12:30.293) #right_data: ,0.33,0,0,0,0,0,0,0
( 2023/02/09 17:12:30.360) #right_data: ,0.35,0,0,0,0,0,0,0
( 2023/02/09 17:12:30.422) #right_data: ,0.42,0,0,0,0,0,0,0
( 2023/02/09 17:12:30.481) #right_data: ,0.32,0,0,0,0,0,0,0
( 2023/02/09 17:12:30.541) #right_data: ,0.33,0,0,0,0,0,0,0
( 2023/02/09 17:12:30.610) #right_data: ,0.44,0,0,0,0,0,0,0
( 2023/02/09 17:12:30.680) #right_data: ,0.28,0,0,0,0,0,2.42,2.31
( 2023/02/09 17:12:30.743) #right_data: ,0.28,0,0,0,0,0,2.42,2.31
( 2023/02/09 17:12:30.803) #right_data: ,1.49,0,0,1.07,0,0.79,5.12,4.3
( 2023/02/09 17:12:30.867) #right_data: ,1.72,0,0.18,1.24,0,1.12,4.69,4.08
( 2023/02/09 17:12:30.935) #right_data: ,2.31,0.43,0.88,0.26,0,0.85,2.95,2.64
( 2023/02/09 17:12:31.003) #right_data: ,2.61,1.1,1.15,0.1,0,0.27,2.13,1.83
( 2023/02/09 17:12:31.072) #right_data: ,2.98,0.94,0.49,0.33,0,0.2,0.09,0.07
( 2023/02/09 17:12:31.134) #right_data: ,3.29,1.65,0.84,0.4,0,1.24,1.06,1.04
( 2023/02/09 17:12:31.195) #right_data: ,3.66,2.39,1.18,0.65,0,0.11,0.3,1.11
( 2023/02/09 17:12:31.264) #right_data: ,4.8,3.43,1.87,0.84,0,1.13,0.36,0.27
( 2023/02/09 17:12:31.335) #right_data: ,4.8,3.43,1.87,0.84,0,1.13,0.36,0.27
( 2023/02/09 17:12:31.407) #right_data: ,3.01,0,0.04,0.37,0,0,0,0
( 2023/02/09 17:12:31.468) #right_data: ,1.21,0,0,0.03,0,0,0,0
( 2023/02/09 17:12:31.528) #right_data: ,1.21,0,0,0.03,0,0,0,0
( 2023/02/09 17:12:31.593) #right_data: ,0.51,0,0,0,0,0,0,0
( 2023/02/09 17:12:31.662) #right_data: ,0.51,0,0,0,0,0,0,0
( 2023/02/09 17:12:31.732) #right_data: ,0.75,0,0,0,0,0,0,0
( 2023/02/09 17:12:31.796) #right_data: ,0.63,0,0,0,0,0,0,0
( 2023/02/09 17:12:31.856) #right_data: ,0.6,0,0,0,0,0,0,0
( 2023/02/09 17:12:31.922) #right_data: ,0.54,0,0,0,0,0,0,0
( 2023/02/09 17:12:31.985) #right_data: ,0.39,0,0,0,0,0,4.9,3.22
( 2023/02/09 17:12:32.053) #right_data: ,0.75,0,0,0.07,0,0.1,6.34,4.75
( 2023/02/09 17:12:32.116) #right_data: ,2.53,0,0,0.76,0,1.03,6.8,4.59
( 2023/02/09 17:12:32.178) #right_data: ,3.7,0.01,0.16,1.14,0,0.18,6.2,3.82
( 2023/02/09 17:12:32.239) #right_data: ,4.17,0.21,0.48,1.25,0,0.19,4.75,2.82
( 2023/02/09 17:12:32.308) #right_data: ,4.17,0.21,0.48,1.25,0,0.19,4.75,2.82
( 2023/02/09 17:12:32.380) #right_data: ,5.48,0.27,0.04,0.34,0,0.91,0.1,0.12
( 2023/02/09 17:12:32.444) #right_data: ,5.66,0.84,0.18,0.23,0,0.75,0.08,0.07
( 2023/02/09 17:12:32.505) #right_data: ,6.06,2.13,0.96,0.5,0,0.96,0.17,0.08
( 2023/02/09 17:12:32.568) #right_data: ,5.42,0.53,1.07,1.32,0,1.18,0,0
