( 2023/02/09 19:29:05.645) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 19:29:23.412) #right_data: ,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:23.483) #right_data: ,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:23.545) #right_data: ,0.56,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:23.606) #right_data: ,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:23.675) #right_data: ,0.26,0.03,0.06,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:23.745) #right_data: ,0.26,0.05,0.05,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:23.816) #right_data: ,0.33,0.06,0.06,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:23.875) #right_data: ,0.33,0.09,0.1,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:23.935) #right_data: ,1.16,0.07,2.16,1.18,0.0,0.04,0.0,0.0
( 2023/02/09 19:29:24.001) #right_data: ,2.18,2.39,4.49,2.5,0.0,0.96,0.0,0.0
( 2023/02/09 19:29:24.074) #right_data: ,2.39,2.89,4.85,3.55,0.0,1.8,0.0,0.0
( 2023/02/09 19:29:24.144) #right_data: ,3.22,2.36,4.59,3.78,0.0,1.99,0.03,0.0
( 2023/02/09 19:29:24.206) #right_data: ,3.95,1.41,3.32,2.82,0.0,1.67,0.05,0.0
( 2023/02/09 19:29:24.267) #right_data: ,4.03,0.87,2.98,2.7,0.0,1.63,0.05,0.0
( 2023/02/09 19:29:24.331) #right_data: ,4.21,1.14,3.01,2.76,0.0,1.36,0.02,0.0
( 2023/02/09 19:29:24.400) #right_data: ,4.26,1.51,2.7,2.47,0.0,0.21,0.01,0.0
( 2023/02/09 19:29:24.470) #right_data: ,4.49,1.78,2.56,2.64,0.0,0.78,1.01,0.03
