( 2023/02/09 19:29:05.637) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 19:29:23.541) #left_data: ,0.76,0.76,2.53,4.08,0.0,3.47,0.11,0.02
( 2023/02/09 19:29:23.601) #left_data: ,0.76,0.76,2.53,4.08,0.0,3.47,0.11,0.02
( 2023/02/09 19:29:23.667) #left_data: ,2.36,0.34,2.23,4.3,0.0,2.26,0.0,0.0
( 2023/02/09 19:29:23.737) #left_data: ,3.43,0.46,2.58,4.54,0.0,1.89,0.0,0.0
( 2023/02/09 19:29:23.807) #left_data: ,4.12,0.7,2.95,4.8,0.0,2.01,0.0,0.0
( 2023/02/09 19:29:23.871) #left_data: ,4.9,0.89,3.18,4.85,0.0,1.8,0.0,0.0
( 2023/02/09 19:29:23.931) #left_data: ,5.36,1.01,2.85,4.54,0.0,0.81,0.0,0.0
( 2023/02/09 19:29:23.993) #left_data: ,5.6,0.59,0.85,2.56,0.0,0.03,0.0,0.0
( 2023/02/09 19:29:24.064) #left_data: ,2.95,0.0,0.23,0.67,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:24.135) #left_data: ,0.28,0.0,0.0,0.27,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:24.201) #left_data: ,0.3,0.0,0.0,0.15,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:24.262) #left_data: ,0.36,0.0,0.0,0.04,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:24.324) #left_data: ,0.36,0.0,0.0,0.04,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:24.391) #left_data: ,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:24.462) #left_data: ,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:24.527) #left_data: ,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:24.586) #left_data: ,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:24.647) #left_data: ,4.3,4.08,4.4,2.7,0.0,1.21,0.0,0.0
( 2023/02/09 19:29:24.715) #left_data: ,4.4,4.9,4.64,3.55,0.07,2.08,0.68,0.07
( 2023/02/09 19:29:24.782) #left_data: ,4.4,4.9,4.64,3.55,0.07,2.08,0.68,0.07
( 2023/02/09 19:29:24.856) #left_data: ,3.66,3.95,2.98,2.26,0.03,0.51,0.46,0.35
( 2023/02/09 19:29:24.916) #left_data: ,3.15,3.11,2.18,1.78,0.02,0.2,0.91,0.59
( 2023/02/09 19:29:24.977) #left_data: ,3.15,3.11,2.18,1.78,0.02,0.2,0.91,0.59
( 2023/02/09 19:29:25.046) #left_data: ,2.89,2.18,2.08,2.31,0.02,0.87,0.33,0.22
( 2023/02/09 19:29:25.113) #left_data: ,2.89,2.18,2.08,2.31,0.02,0.87,0.33,0.22
( 2023/02/09 19:29:25.179) #left_data: ,3.66,2.79,2.61,2.85,0.0,0.57,0.58,0.0
( 2023/02/09 19:29:25.239) #left_data: ,3.78,2.64,2.21,1.63,0.0,0.16,0.0,0.0
( 2023/02/09 19:29:25.298) #left_data: ,3.78,2.64,2.21,1.63,0.0,0.16,0.0,0.0
( 2023/02/09 19:29:25.359) #left_data: ,3.78,2.64,2.21,1.63,0.0,0.16,0.0,0.0
( 2023/02/09 19:29:25.429) #left_data: ,0.16,0.0,0.05,0.06,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:25.498) #left_data: ,0.26,0.0,0.04,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:25.563) #left_data: ,0.39,0.0,0.03,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:25.624) #left_data: ,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:25.686) #left_data: ,0.52,0.0,0.03,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:25.755) #left_data: ,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:25.827) #left_data: ,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:25.893) #left_data: ,4.4,5.01,4.9,3.58,0.02,1.94,0.07,0.0
( 2023/02/09 19:29:25.955) #left_data: ,4.54,4.9,4.69,3.55,0.1,2.39,0.21,0.31
( 2023/02/09 19:29:26.018) #left_data: ,3.15,3.51,3.86,3.47,0.07,2.47,0.82,0.56
( 2023/02/09 19:29:26.087) #left_data: ,3.15,3.51,3.86,3.47,0.07,2.47,0.82,0.56
( 2023/02/09 19:29:26.155) #left_data: ,1.65,1.19,2.85,3.47,0.03,2.36,0.69,0.08
