( 2023/02/10 13:30:53.254) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/10 13:31:31.479) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.54,0.52
( 2023/02/10 13:31:31.541) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.54,0.52
( 2023/02/10 13:31:31.602) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.54,0.52
( 2023/02/10 13:31:31.668) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.54,0.52
( 2023/02/10 13:31:31.741) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.53,0.51
( 2023/02/10 13:31:31.812) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.53,0.51
( 2023/02/10 13:31:31.874) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.53,0.51
( 2023/02/10 13:31:31.933) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.53,0.51
( 2023/02/10 13:31:31.994) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.54,0.51
( 2023/02/10 13:31:32.067) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.53,0.51
( 2023/02/10 13:31:32.133) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.54,0.51
( 2023/02/10 13:31:32.194) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.53,0.51
( 2023/02/10 13:31:32.254) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.53,0.51
( 2023/02/10 13:31:32.316) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.54,0.51
( 2023/02/10 13:31:32.387) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.54,0.52
( 2023/02/10 13:31:32.458) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.56,0.53
( 2023/02/10 13:31:32.522) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.56,0.53
( 2023/02/10 13:31:32.586) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.57,0.53
( 2023/02/10 13:31:32.650) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.57,0.54
( 2023/02/10 13:31:32.719) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.57,0.54
( 2023/02/10 13:31:32.797) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.57,0.54
( 2023/02/10 13:31:32.861) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.57,0.54
( 2023/02/10 13:31:32.922) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.59,0.55
( 2023/02/10 13:31:32.986) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.65
( 2023/02/10 13:31:33.056) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.69
( 2023/02/10 13:31:33.129) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.8
( 2023/02/10 13:31:33.193) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.01,0.97,0.83
( 2023/02/10 13:31:33.255) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.01,0.73,0.53
( 2023/02/10 13:31:33.315) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.01,0.6,0.42
( 2023/02/10 13:31:33.381) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.01,0.54,0.28
( 2023/02/10 13:31:33.447) #right_data: ,0.06,0.0,0.02,0.0,0.0,0.01,0.29,0.15
( 2023/02/10 13:31:33.515) #right_data: ,0.2,0.17,0.06,0.0,0.0,0.0,0.17,0.05
( 2023/02/10 13:31:33.575) #right_data: ,0.26,0.25,0.08,0.0,0.0,0.0,0.19,0.07
( 2023/02/10 13:31:33.633) #right_data: ,0.25,0.27,0.08,0.0,0.0,0.0,0.28,0.11
( 2023/02/10 13:31:33.699) #right_data: ,0.24,0.27,0.09,0.0,0.0,0.0,0.29,0.13
( 2023/02/10 13:31:33.773) #right_data: ,0.24,0.25,0.08,0.0,0.0,0.0,0.3,0.13
( 2023/02/10 13:31:33.850) #right_data: ,0.15,0.2,0.06,0.0,0.0,0.0,0.42,0.2
( 2023/02/10 13:31:33.912) #right_data: ,0.09,0.16,0.05,0.0,0.0,0.0,0.42,0.2
( 2023/02/10 13:31:33.972) #right_data: ,0.06,0.13,0.03,0.0,0.0,0.0,0.41,0.2
( 2023/02/10 13:31:34.039) #right_data: ,0.04,0.11,0.03,0.0,0.0,0.0,0.5,0.25
( 2023/02/10 13:31:34.115) #right_data: ,0.06,0.06,0.02,0.0,0.0,0.0,0.54,0.31
( 2023/02/10 13:31:34.186) #right_data: ,0.06,0.06,0.02,0.0,0.0,0.0,0.63,0.41
( 2023/02/10 13:31:34.309) #right_data: ,0.04,0.03,0.02,0.0,0.0,0.0,0.71,0.47
( 2023/02/10 13:31:34.375) #right_data: ,0.03,0.02,0.02,0.0,0.0,0.01,0.73,0.49
( 2023/02/10 13:31:34.451) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.01,0.69,0.46
( 2023/02/10 13:31:34.524) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.01,0.65,0.42
( 2023/02/10 13:31:34.589) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.01,0.67,0.44
( 2023/02/10 13:31:34.647) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.01,0.66,0.44
( 2023/02/10 13:31:34.712) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.01,0.68,0.45
( 2023/02/10 13:31:34.783) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.01,0.69,0.45
( 2023/02/10 13:31:34.856) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.01,0.68,0.44
( 2023/02/10 13:31:34.920) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.01,0.68,0.45
( 2023/02/10 13:31:34.980) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.01,0.66,0.44
( 2023/02/10 13:31:35.045) #right_data: ,0.04,0.01,0.02,0.0,0.0,0.01,0.66,0.44
( 2023/02/10 13:31:35.114) #right_data: ,0.04,0.02,0.02,0.0,0.0,0.01,0.66,0.43
( 2023/02/10 13:31:35.175) #right_data: ,0.03,0.0,0.02,0.0,0.0,0.01,0.65,0.43
( 2023/02/10 13:31:35.235) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.01,0.66,0.43
( 2023/02/10 13:31:35.297) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.01,0.67,0.44
( 2023/02/10 13:31:35.366) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.01,0.67,0.44
( 2023/02/10 13:31:35.437) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.01,0.69,0.45
( 2023/02/10 13:31:35.509) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.01,0.69,0.46
( 2023/02/10 13:31:35.572) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.01,0.72,0.48
( 2023/02/10 13:31:35.632) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.01,0.72,0.48
( 2023/02/10 13:31:35.699) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.01,0.72,0.48
( 2023/02/10 13:31:35.773) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.01,0.74,0.49
( 2023/02/10 13:31:35.855) #right_data: ,0.04,0.0,0.0,0.0,0.0,0.01,0.69,0.46
( 2023/02/10 13:31:35.918) #right_data: ,0.05,0.0,0.0,0.0,0.0,0.01,0.63,0.42
( 2023/02/10 13:31:35.980) #right_data: ,0.05,0.0,0.01,0.0,0.0,0.01,0.62,0.42
( 2023/02/10 13:31:36.050) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.01,0.62,0.42
( 2023/02/10 13:31:36.148) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.01,0.66,0.45
( 2023/02/10 13:31:36.210) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.01,0.67,0.45
( 2023/02/10 13:31:36.271) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.01,0.68,0.46
( 2023/02/10 13:31:36.331) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.01,0.7,0.47
( 2023/02/10 13:31:36.401) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.01,0.69,0.46
( 2023/02/10 13:31:36.472) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.01,0.66,0.45
( 2023/02/10 13:31:36.537) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.01,0.65,0.45
( 2023/02/10 13:31:36.599) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.01,0.67,0.46
( 2023/02/10 13:31:36.659) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.01,0.71,0.48
( 2023/02/10 13:31:36.725) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.02,0.72,0.49
( 2023/02/10 13:31:36.796) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.02,0.78,0.54
( 2023/02/10 13:31:36.864) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.02,0.84,0.58
( 2023/02/10 13:31:36.930) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.02,0.77,0.53
( 2023/02/10 13:31:36.988) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.01,0.84,0.62
( 2023/02/10 13:31:37.053) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.58
( 2023/02/10 13:31:37.126) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.49
( 2023/02/10 13:31:37.201) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.48
( 2023/02/10 13:31:37.265) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.48
( 2023/02/10 13:31:37.324) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.45
( 2023/02/10 13:31:37.388) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.42,0.33
( 2023/02/10 13:31:37.456) #right_data: ,0.02,0.0,0.01,0.0,0.0,0.0,0.37,0.3
( 2023/02/10 13:31:37.533) #right_data: ,0.04,0.01,0.03,0.0,0.0,0.0,0.36,0.3
( 2023/02/10 13:31:37.600) #right_data: ,0.05,0.02,0.04,0.0,0.0,0.0,0.33,0.26
( 2023/02/10 13:31:37.662) #right_data: ,0.05,0.03,0.05,0.0,0.0,0.0,0.28,0.22
( 2023/02/10 13:31:37.731) #right_data: ,0.07,0.05,0.06,0.0,0.0,0.0,0.24,0.18
( 2023/02/10 13:31:37.807) #right_data: ,0.07,0.05,0.06,0.0,0.0,0.0,0.23,0.18
( 2023/02/10 13:31:37.879) #right_data: ,0.08,0.05,0.07,0.0,0.0,0.0,0.21,0.17
( 2023/02/10 13:31:37.942) #right_data: ,0.07,0.05,0.07,0.0,0.0,0.0,0.24,0.19
( 2023/02/10 13:31:38.008) #right_data: ,0.06,0.04,0.06,0.0,0.0,0.0,0.24,0.18
( 2023/02/10 13:31:38.077) #right_data: ,0.05,0.02,0.06,0.0,0.0,0.01,0.28,0.24
( 2023/02/10 13:31:38.147) #right_data: ,0.05,0.01,0.05,0.0,0.0,0.01,0.3,0.29
( 2023/02/10 13:31:38.218) #right_data: ,0.04,0.01,0.03,0.0,0.0,0.01,0.34,0.34
( 2023/02/10 13:31:38.278) #right_data: ,0.04,0.01,0.03,0.0,0.0,0.01,0.36,0.36
( 2023/02/10 13:31:38.336) #right_data: ,0.04,0.01,0.03,0.0,0.0,0.01,0.37,0.37
( 2023/02/10 13:31:38.402) #right_data: ,0.04,0.01,0.03,0.0,0.0,0.0,0.37,0.35
( 2023/02/10 13:31:38.471) #right_data: ,0.03,0.01,0.03,0.0,0.0,0.0,0.36,0.33
( 2023/02/10 13:31:38.543) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.31
( 2023/02/10 13:31:38.606) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.18
( 2023/02/10 13:31:38.666) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.18
( 2023/02/10 13:31:38.731) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.17
( 2023/02/10 13:31:38.804) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.25
( 2023/02/10 13:31:38.875) #right_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.28,0.23
( 2023/02/10 13:31:38.937) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.29,0.28
( 2023/02/10 13:31:38.997) #right_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.3,0.26
( 2023/02/10 13:31:39.063) #right_data: ,0.03,0.0,0.01,0.0,0.0,0.0,0.3,0.25
( 2023/02/10 13:31:39.135) #right_data: ,0.03,0.0,0.01,0.0,0.0,0.0,0.29,0.22
( 2023/02/10 13:31:39.265) #right_data: ,0.01,0.0,0.01,0.0,0.0,0.0,0.3,0.24
( 2023/02/10 13:31:39.323) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.01,0.28,0.25
( 2023/02/10 13:31:39.388) #right_data: ,0.01,0.0,0.01,0.0,0.0,0.01,0.29,0.28
( 2023/02/10 13:31:39.456) #right_data: ,0.03,0.0,0.02,0.0,0.0,0.01,0.29,0.25
( 2023/02/10 13:31:39.527) #right_data: ,0.03,0.0,0.02,0.0,0.0,0.01,0.29,0.25
( 2023/02/10 13:31:39.588) #right_data: ,0.04,0.0,0.03,0.0,0.0,0.01,0.27,0.23
( 2023/02/10 13:31:39.646) #right_data: ,0.04,0.01,0.03,0.0,0.0,0.01,0.28,0.22
( 2023/02/10 13:31:39.711) #right_data: ,0.05,0.02,0.04,0.0,0.0,0.01,0.27,0.21
( 2023/02/10 13:31:39.782) #right_data: ,0.06,0.06,0.06,0.0,0.0,0.0,0.2,0.15
( 2023/02/10 13:31:39.854) #right_data: ,0.06,0.06,0.07,0.0,0.0,0.01,0.21,0.17
( 2023/02/10 13:31:39.916) #right_data: ,0.05,0.05,0.07,0.0,0.0,0.01,0.19,0.13
( 2023/02/10 13:31:39.977) #right_data: ,0.06,0.06,0.07,0.0,0.0,0.01,0.19,0.13
( 2023/02/10 13:31:40.040) #right_data: ,0.06,0.06,0.07,0.0,0.0,0.01,0.19,0.14
( 2023/02/10 13:31:40.112) #right_data: ,0.07,0.08,0.08,0.0,0.0,0.01,0.19,0.14
( 2023/02/10 13:31:40.183) #right_data: ,0.08,0.09,0.09,0.0,0.0,0.0,0.19,0.13
( 2023/02/10 13:31:40.247) #right_data: ,0.05,0.09,0.08,0.0,0.0,0.0,0.19,0.13
